ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
37,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",NDUFS8,1935056.0,U65579,O00217,NDUS8_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFS8,NDUFS8,HGNC:7715,Humans,DB00157
38,Phenylalanine--tRNA ligase alpha subunit,FARSA,2102679.0,U07424,Q9Y285,SYFA_HUMAN,3L4G,FARSA,FARSLA,HGNC:3592,Humans,DB00120
42,Pyridoxal kinase,PDXK,1946349.0,U89606,O00764,PDXK_HUMAN,2AJP; 2F7K; 2YXT; 2YXU; 3FHX; 3FHY; 3KEU; 4EN4; 4EOH; 8WR2,PDXK,PDXK,HGNC:8819,Humans,DB00147; DB00165; DB03909; DB04770; DB04776
44,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating",NSDHL,4457237.0,U47105,Q15738,NSDHL_HUMAN,6JKG; 6JKH,NSDHL,NSDHL,HGNC:13398,Humans,DB00157
46,Pyruvate kinase PKLR,PKLR,3327365.0,AB015983,P30613,KPYR_HUMAN,2VGB; 2VGF; 2VGG; 2VGI; 4IMA; 4IP7; 5SC8; 5SC9; 5SCA; 5SCB; 5SCC; 5SCD; 5SCE; 5SCF; 5SCG; 5SCH; 5SCI; 5SCJ; 5SCK; 5SCL; 5SDT; 6NN4; 6NN5; 6NN7; 6NN8; 7FRV; 7FRW; 7FRX; 7FRY; 7FRZ; 7FS0; 7FS1; 7FS2; 7FS3; 7FS4; 7FS5; 7FS6; 7FS7; 7FS8; 7FS9; 7FSA; 7FSB; 7FSC; 7FSD; 7QDN; 7QZU; 8TBS; 8TBT; 8TBU; 8XFD,PKLR,PKLR,HGNC:9020,Humans,DB00119; DB02726; DB04551; DB12835; DB16236
63,"Serine--tRNA ligase, cytoplasmic",SARS1,1050527.0,X91257,P49591,SYSC_HUMAN,3VBB; 4L87; 4RQE; 4RQF; 8P7B; 8P7C; 8P7D,SARS1,SARS,HGNC:10537,Humans,DB00133
65,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",DLAT,35360.0,Y00978,P10515,ODP2_HUMAN,1FYC; 1Y8N; 1Y8O; 1Y8P; 2DNE; 2PNR; 2Q8I; 3B8K; 3CRK; 3CRL; 6CT0; 6H55; 8PIU,DLAT,DLAT,HGNC:2896,Humans,DB00157; DB03758; DB03760
67,Nitric oxide synthase 1,NOS1,642526.0,U17327,P29475,NOS1_HUMAN,4D1N; 4UCH; 4UH5; 4UH6; 4V3U; 5ADF; 5ADG; 5ADI; 5FVU; 5FVV; 5FVW; 5FVX; 5UO1; 5UO2; 5UO3; 5UO4; 5UO5; 5UO6; 5UO7; 5VUV; 5VUW; 5VUX; 5VUY; 5VUZ; 5VV0; 5VV1; 5VV2; 5VV3; 5VV4; 5VV5; 6AUY; 6AUZ; 6AV0; 6AV1; 6AV2; 6AV3; 6AV4; 6AV5; 6CIC; 6CID; 6NG1; 6NG2; 6NG4; 6NG5; 6NG6; 6NG7; 6NG8; 6NGA; 6NGB; 6NGC; 6NGD; 6NGE; 6NGF; 6NGH; 6NGI; 6NHB; 6NHC; 6PNA; 6PNB; 6PNC; 6PND; 6PNE; 6PNF; 6PNG; 6PNH; 6PO5; 6PO7; 6PO8; 6PO9; 6POA; 6POB; 6POC; 6POT; 7TS1; 7TS2; 7TS3; 7TS4; 7TS5; 7TS6; 7TS7; 7TS8; 7UAM; 7US7; 7US8; 8BI8; 8BI9; 8FGF; 8FGG; 8FGH; 8FGI; 8FGJ; 8FGK; 8FGL; 8FGM; 8UFP; 8UFQ,NOS1,NOS1,HGNC:7872,Humans,DB00155; DB00843; DB01221; DB01821; DB01942; DB01997; DB02027; DB02044; DB02077; DB02143; DB02207; DB02335; DB02644; DB02727; DB02991; DB03144; DB03147; DB03247; DB03305; DB03449; DB03461; DB03707; DB03710; DB03892; DB03953; DB04223; DB04497; DB06096; DB07002; DB07405; DB08018; DB08019; DB09241; DB14511; DB18267
68,L-lactate dehydrogenase B chain,LDHB,1200083.0,X13794,P07195,LDHB_HUMAN,1I0Z; 1T2F; 7DBJ; 7DBK; 8QDE,LDHB,LDHB,HGNC:6541,Humans,DB00157; DB02401; DB03940; DB09118; DB11638
69,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,219918.0,D90228,P24752,THIL_HUMAN,2F2S; 2IB7; 2IB8; 2IB9; 2IBU; 2IBW; 2IBY,ACAT1,ACAT1,HGNC:93,Humans,DB00795; DB04812; DB09061; DB14009; DB14011
73,"Alpha-aminoadipic semialdehyde synthase, mitochondrial",AASS,7264724.0,AF229180,Q9UDR5,AASS_HUMAN,5L76; 5L78; 5O1N; 5O1O; 5O1P; 8DDA; 8E8T; 8E8U; 8E8V,AASS,AASS,HGNC:17366,Humans,DB00142; DB00157; DB02338; DB04207
77,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885.0,M31642,P00492,HPRT_HUMAN,1BZY; 1D6N; 1HMP; 1Z7G; 2VFA; 3GEP; 3GGC; 3GGJ; 4IJQ; 4KN6; 4RAB; 4RAC; 4RAD; 4RAN; 4RAO; 4RAQ; 5BRN; 5BSK; 5HIA; 5W8V; 6BNJ; 7SAN; 8TPY,HPRT1,HPRT1,HGNC:5157,Humans,DB01033; DB01632; DB02309; DB03153; DB04356
81,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",NDUFA10,4191348.0,AF087661,O95299,NDUAA_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFA10,NDUFA10,HGNC:7684,Humans,DB00157
82,Creatine kinase B-type,CKB,180572.0,M16451,P12277,KCRB_HUMAN,3B6R; 3DRB; 3DRE; 6V9H; 7BF1; 7TUN,CKB,CKB,HGNC:1991,Humans,DB00148; DB13191
88,Pyruvate kinase PKM,PKM,189998.0,M23725,P14618,KPYM_HUMAN,1T5A; 1ZJH; 3BJF; 3BJT; 3G2G; 3GQY; 3GR4; 3H6O; 3ME3; 3SRD; 3SRF; 3SRH; 3U2Z; 4B2D; 4FXF; 4FXJ; 4G1N; 4JPG; 4QG6; 4QG8; 4QG9; 4QGC; 4RPP; 4WJ8; 4YJ5; 5X0I; 5X1V; 5X1W; 6B6U; 6GG3; 6GG4; 6GG5; 6GG6; 6JFB; 6NU1; 6NU5; 6NUB; 6TTF; 6TTH; 6TTI; 6TTQ; 6V74; 6V75; 6V76; 6WP3; 6WP4; 6WP5; 6WP6; 7L21; 8G2E; 8HGF; 8HMQ; 8HMR; 8HMS; 8HMU; 8X4R,PKM,PKM2,HGNC:9021,Humans,DB00119; DB01733; DB02726; DB07628; DB07692; DB07697; DB08951; DB09130; DB11263; DB11638; DB12088
89,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUFS5,2911482.0,AF047434,O43920,NDUS5_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFS5,NDUFS5,HGNC:7712,Humans,DB00157
93,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",NDUFS6,3348137.0,AF044959,O75380,NDUS6_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFS6,NDUFS6,HGNC:7713,Humans,DB00157
98,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PDHB,189760.0,M34479,P11177,ODPB_HUMAN,1NI4; 2OZL; 3EXE; 3EXF; 3EXG; 3EXH; 3EXI; 6CER; 6CFO,PDHB,PDHB,HGNC:8808,Humans,DB00119; DB00157
104,Ketimine reductase mu-crystallin,CRYM,1066343.0,L02950,Q14894,CRYM_HUMAN,2I99,CRYM,CRYM,HGNC:2418,Humans,DB05235
105,Sterol O-acyltransferase 1,SOAT1,4878022.0,L21934,P35610,SOAT1_HUMAN,6L47; 6L48; 6P2J; 6P2P; 6VUM,SOAT1,SOAT1,HGNC:11177,Humans,DB00973; DB01094; DB16254
111,Diamine acetyltransferase 1,SAT1,338392.0,M77693,P21673,SAT1_HUMAN,2B3U; 2B3V; 2B4B; 2B4D; 2B58; 2B5G; 2F5I; 2FXF; 2G3T; 2JEV,SAT1,SAT1,HGNC:10540,Humans,DB04633
115,Adenine phosphoribosyltransferase,APRT,28819.0,Y00486,P07741,APT_HUMAN,1ORE; 1ZN7; 1ZN8; 1ZN9; 4X44; 4X45; 6FCH; 6FCI; 6FCL; 6FD4; 6FD5; 6FD6; 6HGP; 6HGQ; 6HGR; 6HGS,APRT,APRT,HGNC:626,Humans,DB00173; DB01632; DB03506; DB04272
117,Prostacyclin synthase,PTGIS,10944956.0,D38145,Q16647,PTGIS_HUMAN,2IAG; 3B6H,PTGIS,PTGIS,HGNC:9603,Humans,DB00812; DB01240; DB08675
126,Aldo-keto reductase family 1 member C1,AKR1C1,181549.0,M86609,Q04828,AK1C1_HUMAN,1MRQ; 3C3U; 3GUG; 3NTY; 4YVP; 6A7A; 6IJX; 8JP2,AKR1C1,AKR1C1,HGNC:384,Humans,DB00157; DB00936; DB00945; DB03461; DB03467; DB04674; DB07768; DB07931
128,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",HIBADH,,AC007130,P31937,3HIDH_HUMAN,2GF2; 2I9P,HIBADH,HIBADH,HGNC:4907,Humans,DB00157
133,"Aldehyde dehydrogenase, mitochondrial",ALDH2,28606.0,X05409,P05091,ALDH2_HUMAN,1CW3; 1NZW; 1NZX; 1NZZ; 1O00; 1O01; 1O02; 1O04; 1O05; 1ZUM; 2ONM; 2ONN; 2ONO; 2ONP; 2VLE; 3INJ; 3INL; 3N80; 3N81; 3N82; 3N83; 3SZ9; 4FQF; 4FR8; 4KWF; 4KWG; 5L13; 8DR9; 8SHS,ALDH2,ALDH2,HGNC:404,Humans,DB00157; DB00536; DB00822; DB02115; DB04202; DB04381; DB09116; DB14128
135,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,797410.0,S74728,P49419,AL7A1_HUMAN,2J6L; 4X0T; 4X0U; 4ZUK; 4ZUL; 4ZVW; 4ZVX; 4ZVY; 6O4B; 6O4C; 6O4D; 6O4E; 6O4F; 6O4G; 6O4H; 6O4I; 6O4K; 6O4L; 6U2X; 6V0Z,ALDH7A1,ALDH7A1,HGNC:877,Humans,DB00157; DB11638
137,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",NDUFV2,188852.0,M22538,P19404,NDUV2_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFV2,NDUFV2,HGNC:7717,Humans,DB00157
139,Mitochondrial inner membrane m-AAA protease component AFG3L2,AFG3L2,5457357.0,Y18314,Q9Y4W6,AFG32_HUMAN,2LNA; 6NYY,AFG3L2,AFG3L2,HGNC:315,Humans,DB00171
147,Receptor-type tyrosine-protein kinase FLT3,FLT3,409573.0,U02687,P36888,FLT3_HUMAN,1RJB; 3QS7; 3QS9; 4RT7; 4XUF; 5X02; 6IL3; 6JQR; 7QDP; 7ZV9; 8XB1,FLT3,FLT3,HGNC:3765,Humans,DB00398; DB00495; DB01268; DB05014; DB05465; DB06080; DB06469; DB06595; DB08875; DB08901; DB09079; DB11665; DB11697; DB11741; DB11763; DB11800; DB12010; DB12141; DB12267; DB12500; DB12669; DB12742; DB12746; DB12874; DB12978; DB15822; DB16050; DB16849; DB17140; DB17159; DB17383
149,L-lactate dehydrogenase C chain,LDHC,307120.0,J02938,P07864,LDHC_HUMAN,7EPM,LDHC,LDHC,HGNC:6544,Humans,DB00157
152,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,3766467.0,Y11192,P51649,SSDH_HUMAN,2W8N; 2W8O; 2W8P; 2W8Q; 2W8R,ALDH5A1,ALDH5A1,HGNC:408,Humans,DB00139; DB00157; DB00313; DB00534
157,Thiamine pyrophosphokinase 1,TPK1,12248915.0,AB028138,Q9H3S4,TPK1_HUMAN,3S4Y; 9HJC,TPK1,TPK1,HGNC:17358,Humans,DB00152; DB04768
160,NADH-cytochrome b5 reductase 3,CYB5R3,553600.0,M28713,P00387,NB5R3_HUMAN,1UMK; 7THG; 7TNV; 7TSW; 7W3O,CYB5R3,CYB5R3,HGNC:2873,Humans,DB00157; DB03147; DB09130
161,D-3-phosphoglycerate dehydrogenase,PHGDH,2674062.0,AF006043,O43175,SERA_HUMAN,2G76; 5N53; 5N6C; 5NZO; 5NZP; 5NZQ; 5OFM; 5OFV; 5OFW; 6CWA; 6PLF; 6PLG; 6RIH; 6RJ2; 6RJ3; 6RJ5; 6RJ6; 7CVP; 7DKM; 7EWH; 7VA1,PHGDH,PHGDH,HGNC:8923,Humans,DB00157
162,2-oxoglutarate dehydrogenase complex component E1,OGDH,531241.0,D10523,Q02218,ODO1_HUMAN,3ERY; 7WGR; 8I0K,OGDH,OGDH,HGNC:8124,Humans,DB00157; DB00313; DB09092; DB12109
167,DNA ligase 3,LIG3,860963.0,X84740,P49916,DNLI3_HUMAN,1IMO; 1IN1; 1UW0; 3L2P; 3PC7; 3PC8; 3QVG; 6WH1,LIG3,LIG3,HGNC:6600,Humans,DB00290
169,Cytochrome c oxidase subunit NDUFA4,NDUFA4,1946692.0,U94586,O00483,NDUA4_HUMAN,5Z62,NDUFA4,NDUFA4,HGNC:7687,Humans,DB00157
171,"Creatine kinase U-type, mitochondrial",CKMT1A,180590.0,J04469,P12532,KCRU_HUMAN,1QK1; 9B04; 9B05; 9B0T; 9B0U; 9B14; 9B16,CKMT1B,CKMT1A,HGNC:1995,Humans,DB00148; DB13191
173,NADH dehydrogenase [ubiquinone] 1 subunit C2,NDUFC2,4191346.0,AF087659,O95298,NDUC2_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFC2,NDUFC2,HGNC:7706,Humans,DB00157; DB01136
176,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,506338.0,D30648,P31040,SDHA_HUMAN,6VAX; 8DYD; 8DYE; 8GS8,SDHA,SDHA,HGNC:10680,Humans,DB04141; DB04657; DB04795; DB08689; DB09270
180,"Glutamate dehydrogenase 1, mitochondrial",GLUD1,31707.0,X07674,P00367,DHE3_HUMAN,1L1F; 1NR1; 6DQG; 7UZM; 8KGY; 8SK8; 8W4J,GLUD1,GLUD1,HGNC:4335,Humans,DB00142; DB00157; DB00756; DB04137; DB11081
181,Pyridoxine-5'-phosphate oxidase,PNPO,21728336.0,AF468030,Q9NVS9,PNPO_HUMAN,1NRG; 3HY8; 6H00; 8QYT; 8QYW; 8ROS,PNPO,PNPO,HGNC:30260,Humans,DB00114; DB03247; DB03345
185,Glutathione synthetase,GSS,886284.0,L42531,P48637,GSHB_HUMAN,2HGS; 8FBZ,GSS,GSS,HGNC:4624,Humans,DB00143; DB00145; DB00151; DB03408; DB04395; DB06151; DB09130
188,Bifunctional glutamate/proline--tRNA ligase,EPRS1,31958.0,X54326,P07814,SYEP_HUMAN,1FYJ; 4HVC; 4K86; 4K87; 4K88; 5A1N; 5A34; 5A5H; 5BMU; 5V58; 5VAD; 5Y6L; 6IY6; 7BBU; 7F98; 7F99; 7F9A; 7F9B; 7F9C; 7F9D; 7OSY; 7OSZ; 7OT0; 7OT1; 7OT2; 7OT3; 7X09; 7X1O; 7Y1H; 7Y1W; 7Y28; 7Y3S,EPRS1,EPRS,HGNC:3418,Humans,DB00142; DB00172; DB02510; DB02684; DB03376; DB04866
191,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,3337441.0,AF067139,O75489,NDUS3_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFS3,NDUFS3,HGNC:7710,Humans,DB00157
194,17-beta-hydroxysteroid dehydrogenase type 1,HSD17B1,23365.0,X13440,P14061,DHB1_HUMAN,1A27; 1BHS; 1DHT; 1EQU; 1FDS; 1FDT; 1FDU; 1FDV; 1FDW; 1I5R; 1IOL; 1JTV; 1QYV; 1QYW; 1QYX; 3DEY; 3DHE; 3HB4; 3HB5; 3KLM; 3KLP; 3KM0; 6CGC; 6CGE; 6DTP; 6MNC; 6MNE; 7X3Z,HSD17B1,HSD17B1,HGNC:5210,Humans,DB00157; DB01536; DB01561; DB01852; DB02187; DB02323; DB02901; DB03461; DB03467; DB04497; DB07352; DB13951; DB14128
196,NADH-ubiquinone oxidoreductase chain 3,MT-ND3,506832.0,J01415,P03897,NU3M_HUMAN,5XTC; 5XTD,MT-ND3,MT-ND3,HGNC:7458,Humans,DB00157; DB04464
198,Lysine--tRNA ligase,KARS1,505108.0,D31890,Q15046,SYK_HUMAN,3BJU; 4DPG; 4YCU; 4YCW; 6CHD; 6ILD; 6ILH; 7EA9; 8HYR; 8XP4; 9DOW; 9DPA; 9DPB; 9DPL,KARS1,KARS,HGNC:6215,Humans,DB00123
199,DNA ligase 1,LIG1,187143.0,M36067,P18858,DNLI1_HUMAN,1X9N; 5YY9; 6P09; 6P0A; 6P0B; 6P0C; 6P0D; 6P0E; 6Q1V; 7KR3; 7KR4; 7L34; 7L35; 7QNZ; 7QO1; 7SUM; 7SX5; 7SXE; 8B8T; 8VDN; 8VDS; 8VDT; 8VZL; 8VZM; 9BS3; 9BS4,LIG1,LIG1,HGNC:6598,Humans,DB00290; DB01280
208,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",GPD1,508487.0,L34041,P21695,GPDA_HUMAN,1WPQ; 1X0V; 1X0X; 6E8Y; 6E8Z; 6E90; 6PYP,GPD1,GPD1,HGNC:4455,Humans,DB00157; DB00331
213,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,2909856.0,AF047182,P56556,NDUA6_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFA6,NDUFA6,HGNC:7690,Humans,DB00157
214,Histo-blood group ABO system transferase,ABO,340078.0,J05175,P16442,BGAT_HUMAN,1LZ0; 1LZ7; 1LZI; 1LZJ; 1R7T; 1R7U; 1R7V; 1R7X; 1R7Y; 1R80; 1R81; 1R82; 1WSZ; 1WT0; 1WT1; 1WT2; 1WT3; 1XZ6; 1ZHJ; 1ZI1; 1ZI3; 1ZI4; 1ZI5; 1ZIZ; 1ZJ0; 1ZJ1; 1ZJ2; 1ZJ3; 1ZJO; 1ZJP; 2A8U; 2A8W; 2I7B; 2O1F; 2O1G; 2O1H; 2PGV; 2PGY; 2RIT; 2RIX; 2RIY; 2RIZ; 2RJ0; 2RJ1; 2RJ4; 2RJ5; 2RJ6; 2RJ7; 2RJ8; 2RJ9; 2Y7A; 3I0C; 3I0D; 3I0E; 3I0F; 3I0G; 3I0H; 3I0I; 3I0J; 3I0K; 3I0L; 3IOH; 3IOI; 3IOJ; 3SX3; 3SX5; 3SX7; 3SX8; 3SXA; 3SXB; 3SXC; 3SXD; 3SXE; 3SXG; 3U0X; 3U0Y; 3V0L; 3V0M; 3V0N; 3V0O; 3V0P; 3V0Q; 3ZGF; 3ZGG; 4C2S; 4FQW; 4FRA; 4FRB; 4FRD; 4FRE; 4FRH; 4FRL; 4FRM; 4FRO; 4FRP; 4FRQ; 4GBP; 4KC1; 4KC2; 4KC4; 4KXO; 4Y62; 4Y63; 4Y64; 5BXC; 5C1G; 5C1H; 5C1L; 5C36; 5C38; 5C3A; 5C3B; 5C3D; 5C47; 5C48; 5C49; 5C4B; 5C4C; 5C4D; 5C4E; 5C4F; 5C8R; 5CMF; 5CMG; 5CMH; 5CMI; 5CMJ; 5CQL; 5CQM; 5CQN; 5CQO; 5CQP; 5M79; 5M7A; 5M7B; 5M7C; 5M7D; 5TJK; 5TJL; 5TJN; 5TJO; 6BJI; 6BJJ; 6BJK; 6BJL; 6BJM; 6GWY; 6GWZ; 6GX0; 6GX1; 6GX2,ABO,ABO,HGNC:79,Humans,DB02196; DB03435; DB03501; DB03772; DB04141; DB04678; DB04679; DB04680; DB04681; DB07341; DB07357; DB07378; DB07633
219,Asparagine synthetase [glutamine-hydrolyzing],ASNS,179100.0,M27396,P08243,ASNS_HUMAN,6GQ3; 8SUE; 9B6C,ASNS,ASNS,HGNC:753,Humans,DB00128; DB00142; DB00171; DB00174
220,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,190818.0,J02888,P16083,NQO2_HUMAN,1QR2; 1SG0; 1XI2; 1ZX1; 2BZS; 2QMY; 2QMZ; 2QR2; 2QWX; 2QX4; 2QX6; 2QX8; 2QX9; 3FW1; 3G5M; 3GAM; 3NFR; 3NHF; 3NHJ; 3NHK; 3NHL; 3NHP; 3NHR; 3NHS; 3NHU; 3NHW; 3NHY; 3O2N; 3O73; 3OVM; 3OWH; 3OWX; 3OX1; 3OX2; 3OX3; 3TE7; 3TEM; 3TZB; 3UXE; 3UXH; 4FGJ; 4FGK; 4FGL; 4GQI; 4GR9; 4QOD; 4QOE; 4QOF; 4QOG; 4QOH; 4QOI; 4QOJ; 4U7F; 4U7G; 4U7H; 4XDG; 4XDH; 4ZVK; 4ZVL; 4ZVM; 4ZVN; 5BUC; 5LBT; 5LBU; 5LBW; 5LBY; 5LBZ; 7O4D,NQO2,NQO2,HGNC:7856,Humans,DB00157; DB00170; DB01065; DB01087; DB02709; DB03147; DB03541; DB04216; DB04253; DB07339; DB08190; DB08228; DB08744; DB18950
224,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,NDUFA1,2274974.0,X81900,O15239,NDUA1_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFA1,NDUFA1,HGNC:7683,Humans,DB00157
